1 ,1 ,1 ,1 ,9 ,5 ,2 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1, 1, 1
1 ,1 ,1 ,1 ,9 ,5 ,6 ,4 ,4 ,4 ,3 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1, 1, 1
1 ,1 ,1 ,1 ,9 ,5 ,5 ,5 ,5 ,5 ,2 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1, 1, 1
1 ,1 ,1 ,1 ,C ,8 ,8 ,8 ,B ,5 ,D ,4 ,4 ,4 ,4 ,3 ,1 ,1 ,1 ,1, 1, 1
1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,9 ,5 ,5 ,5 ,5 ,5 ,5 ,2 ,1 ,1 ,1 ,1, 1, 1
1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,C ,8 ,8 ,8 ,8 ,B ,5 ,6 ,4 ,4 ,4 ,4, 4, 4
1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,9 ,5 ,5 ,5 ,5 ,5 ,5, 5, 5
4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,E ,5 ,F ,8 ,8 ,8 ,8, 8, 8
5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,2 ,1 ,1 ,1 ,1, 1, 1
8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,7 ,1 ,1 ,1 ,1, 1, 1
